,feature,importance
369,amount_recharges__weekday__day__kurtosis,0
370,amount_recharges__weekday__night__mean,0
371,amount_recharges__weekday__night__kurtosis,0
372,amount_recharges__weekday__night__min,8
373,amount_recharges__weekend__allday__std,0
374,amount_recharges__weekend__allday__skewness,0
375,amount_recharges__weekend__allday__min,0
376,amount_recharges__weekend__day__skewness,2
377,amount_recharges__weekend__day__min,0
378,amount_recharges__weekend__night__mean,0
379,amount_recharges__weekend__night__kurtosis,1
380,amount_recharges__weekend__night__max,0
381,interevent_time_recharges__allweek__allday__std,0
382,interevent_time_recharges__allweek__allday__skewness,0
383,interevent_time_recharges__allweek__day__std,0
384,interevent_time_recharges__allweek__day__skewness,0
385,interevent_time_recharges__allweek__day__kurtosis,0
386,interevent_time_recharges__allweek__day__min,1
387,interevent_time_recharges__allweek__night__mean,1
388,interevent_time_recharges__allweek__night__std,0
389,interevent_time_recharges__allweek__night__median,0
390,interevent_time_recharges__allweek__night__min,0
391,interevent_time_recharges__allweek__night__max,0
392,interevent_time_recharges__weekday__allday__std,0
393,interevent_time_recharges__weekday__allday__median,1
394,interevent_time_recharges__weekday__allday__skewness,0
395,interevent_time_recharges__weekday__allday__kurtosis,0
396,interevent_time_recharges__weekday__allday__min,0
397,interevent_time_recharges__weekday__allday__max,0
398,interevent_time_recharges__weekday__day__median,0
399,interevent_time_recharges__weekday__day__skewness,0
400,interevent_time_recharges__weekday__day__min,0
401,interevent_time_recharges__weekday__day__max,0
402,interevent_time_recharges__weekday__night__median,0
403,interevent_time_recharges__weekday__night__skewness,0
404,interevent_time_recharges__weekday__night__kurtosis,0
405,interevent_time_recharges__weekday__night__max,3
406,interevent_time_recharges__weekend__allday__median,0
407,interevent_time_recharges__weekend__allday__skewness,0
408,interevent_time_recharges__weekend__allday__kurtosis,4
409,interevent_time_recharges__weekend__allday__min,0
410,interevent_time_recharges__weekend__day__std,0
411,interevent_time_recharges__weekend__day__min,0
412,interevent_time_recharges__weekend__day__max,0
413,percent_pareto_recharges__allweek__day,0
414,percent_pareto_recharges__weekday__allday,0
415,percent_pareto_recharges__weekday__day,0
416,percent_pareto_recharges__weekday__night,0
417,percent_pareto_recharges__weekend__night,0
418,number_of_recharges__allweek__night,0
419,number_of_recharges__weekday__allday,0
420,number_of_recharges__weekday__day,4
421,number_of_recharges__weekday__night,0
422,number_of_recharges__weekend__day,5
